tag,split,model,n_seeds,n_params_M,auc_mean,auc_std,ap_mean,ap_std,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,precision_at_recall_90_mean,precision_at_recall_90_std,precision_at_recall_95_mean,precision_at_recall_95_std,precision_at_recall_99_mean,precision_at_recall_99_std,best_iteration_mean,best_iteration_std
gbdt,group,baseline,5,,0.9923452138508638,0.0025078885535050202,0.9754010560813946,0.005637714826837524,0.9655045870683985,0.005069163141772429,0.9304896656221189,0.004597551718450689,0.9131240395531846,0.024915673043376385,0.9393241235316235,0.01540267641519191,0.9014674905220617,0.03353111014897732,0.7203797199316329,0.12508317862166873,405.6,57.74339789101435
phantom_no_harmonic,group,phantom,5,8.764536,0.9929490314384136,0.002151757176268331,0.9738365148706162,0.006478211803782301,0.9730534958028866,0.003874408318778406,0.949993348865314,0.002663635218178,0.927972006436115,0.015847478447011322,0.9590203555928815,0.005920321317180335,0.9280855562686497,0.01720093010193866,0.749066072582755,0.10453964328469775,,
phantom_full,tce,phantom,3,9.158008,0.992954316874686,0.0015949194910361102,0.9733664754862669,0.005936906496894139,0.9711068621202464,0.0007359468058503768,0.9377517544323872,0.012441024436235477,0.9408458562774821,0.01431015652790513,0.9620392658733437,0.010201916035550948,0.930900179527223,0.007668180565857047,0.7434521695282656,0.07523159052237934,,
phantom_full,group,phantom,5,9.158008,0.9929016030147796,0.002686566455280886,0.9731591956391427,0.009749712149848839,0.9728165890619259,0.006647759019464517,0.9305100082722987,0.02745248795146991,0.949935128776594,0.02632993681365753,0.9616023791609543,0.006642009031309166,0.9265731743660206,0.021925243882496614,0.7434740741683499,0.07912117021190547,,
phantom_no_harmonic_views,group,phantom,5,7.435956,0.9922733192428908,0.0023393734736927916,0.9701800044539188,0.01192094250447418,0.9731849656158651,0.002678790139322863,0.9432841793698035,0.004639897023853505,0.9359480762930831,0.007445559828906793,0.9549114811414109,0.007314067453715191,0.9328392367163449,0.01412973686757255,0.7728509223900062,0.0754505631769426,,
phantom_no_decoder,group,phantom,5,9.120883,0.9923543659227766,0.002329224988434111,0.9689759825629137,0.006091440944712961,0.9682023532873509,0.006395006431611601,0.9381986202560115,0.040101720135058604,0.9198288793376458,0.031743989048827526,0.9545270856441623,0.013022574137413446,0.9249077151015046,0.028263906602853082,0.7544827895714235,0.10205530122123836,,
phantom_no_dv,group,phantom,5,9.157368,0.9913063576034256,0.00288932558435309,0.9670069128288163,0.009510761354051652,0.9619550001689072,0.008135026324543604,0.9349150247167465,0.027233335023744167,0.8933984858966874,0.06961024160775435,0.9450830246105555,0.01393602343981683,0.9033376887848819,0.026450650166718204,0.7337985683692182,0.10039080954819193,,
phantom_no_centroid,group,phantom,5,7.435956,0.9915281398056974,0.002948104305998508,0.965984718978173,0.010899854178180986,0.9693988177898193,0.0056067260976222725,0.9281101194765714,0.014282439918986612,0.9352050790575923,0.02281633646258702,0.9415188786580846,0.01326891653317944,0.9077964315420324,0.0227612779733611,0.7323372735290397,0.08340011169039108,,
phantom_sv_views,group,phantom,5,5.003594,0.9911600929909584,0.0025243677184793077,0.9627153480680105,0.011676217999377925,0.9681000455496884,0.0042755167689120695,0.9231126052035921,0.022018321490008062,0.9354366223522362,0.024146787800395152,0.9405893499743103,0.01641935798334045,0.904662202847593,0.015403907413318369,0.7388191267593067,0.0633072822866192,,
phantom_derived_only,group,phantom,5,9.155704,0.9896425008344704,0.0036316811244965874,0.9621317008776635,0.011284636638942521,0.9679229669421237,0.0051227908475991,0.9133930063344099,0.01233727259077184,0.9457370872728607,0.023461924843326848,0.9389993053354384,0.015241747361537581,0.9017315905272728,0.02991146427448061,0.676810986182214,0.15446565830412973,,
phantom_no_scalars,group,phantom,5,9.154424,0.9894099109115597,0.004436337183379973,0.9610136729109445,0.016801469672450636,0.9661064563414836,0.004683528077576292,0.9283378324342946,0.019363848065700538,0.9194332178160469,0.027660371991195424,0.9408964435804716,0.013932859174549023,0.8998796164989283,0.036098440477617455,0.6871119751154284,0.12801537303224758,,
phantom_ens,group,phantom,5,9.158008,0.9897066604632494,0.000269633673309438,0.9566814788454847,0.004552497724916864,0.9680306905370845,0.0025575447570332366,0.9212551348468754,0.01853027686143312,0.944808743169399,0.02172088187360849,0.9452798629193142,0.004385433430254326,0.9242079373496199,0.009277224277115177,0.7054980526324585,0.038191954049795404,,
astronet,group,astronet,5,10.546913,0.9824740518105542,0.0027698275760228816,0.9384590271388993,0.009342859426906248,0.9459837450628411,0.004449468965716172,0.8670173327908086,0.02117623721793298,0.8958207401288416,0.022697118741300457,0.8677698992681984,0.01685319428084921,0.8052594824933133,0.0327932516741629,0.6227197311151116,0.08673830414797541,,
astronet,tce,astronet,3,10.546913,0.9808931274053002,0.004205876110012936,0.9314952459156887,0.0037117221714122214,0.9390269810919906,0.0032079177545233407,0.8770116523330623,0.04058928465672739,0.8681226618949623,0.04678167332048144,0.8651714030680558,0.016363100917546235,0.8131986263958743,0.029538105519754172,0.588378409407992,0.1711354195848112,,
classical,group,baseline,5,,0.766846256450319,0.016184770514490125,0.4016749767659612,0.01933930290945508,0.4113520772122083,0.013489297424836925,0.2713361087725407,0.009683962639874236,0.9748709759054475,0.008634842136663469,0.2713361087725407,0.009683962639874236,0.2713361087725407,0.009683962639874236,0.2292481884594552,0.006596578078035803,0.0,0.0
