kepid,pl_name,lit_duration,lit_depth_ppm,cat_duration,cat_depth_ppm,est_duration,est_duration_err,est_depth_ppm,est_depth_err
8653134,Kepler-1643 b,2.41,688.7,2.47,676.9,2.358078,0.059037086,714.9761,14.604758
8680979,Kepler-330 c,3.917,762.5999999999999,4.042,753.2,3.7767434,0.15989883,729.5517,16.162066
8680979,Kepler-330 b,3.005,298.4,3.269,303.8,3.0263789,0.07178249,293.92685,17.168522
8750043,Kepler-1055 b,1.6459,170.7,1.681,163.4,1.6796868,0.07456847,147.1355,1.8633167
8773015,Kepler-1586 b,4.521,73.4,4.537,71.24,4.175458,0.17990024,63.4553,3.7418547
8780959,Kepler-1518 b,2.96,267.8,2.694,229.5,2.681372,0.060781393,230.99626,5.453762
8780959,Kepler-1518 c,5.255,297.2,4.554,233.9,4.6215982,0.124472596,228.80322,5.709267
8804397,Kepler-983 b,6.929,432.2,6.957,429.9,6.587409,0.19414999,407.9406,9.130487
8826007,Kepler-1450 b,4.222,622.1999999999999,4.683,598.6,4.2293344,0.23466393,546.9739,31.599796
8878187,Kepler-650 b,3.6764,488.6,3.281,163.1,3.6347327,0.12174911,447.8457,7.8331504
8883329,Kepler-393 b,4.343,84.7,4.318,83.36,4.3078794,0.16988197,79.18622,1.0906829
8883329,Kepler-393 c,5.401,74.6,5.422,76.87,5.311866,0.24604927,67.918144,2.848099
8885643,Kepler-1346 b,1.7944,155.9,1.976,168.6,1.8787436,0.058703113,134.8199,4.784122
8934495,Kepler-1721 b,2.2748,1027.7,2.422,935.0,2.3160374,0.095999375,967.07214,22.22922
9021075,Kepler-1968 b,2.716,333.8,2.594,334.9,2.172475,0.12033755,254.23253,26.268015
9044228,Kepler-1039 b,1.4174,282.6,1.369,267.1,1.2919937,0.09352131,270.33316,14.011457
9244508,Kepler-1360 b,10.526,360.7,10.44,335.7,10.333968,0.29588193,337.96964,9.386223
9364290,Kepler-382 b,3.229,194.49999999999997,3.269,193.7,3.2000446,0.12210771,183.01306,5.5523887
9364290,Kepler-382 c,1.958,306.3,1.964,301.5,1.8611969,0.079076156,290.22284,6.3656697
