time,flux,flux_err
1325.2966258808235,9262.704,12.471729
1325.2980147804474,9271.197,12.47647
1325.299403680013,9290.673,12.498974
1325.3007925795785,9262.817,12.483087
1325.3021814792023,9277.714,12.492529
1325.303570378768,9260.417,12.487941
1325.3049592783916,9268.42,12.487627
1325.3063481780152,9267.215,12.484974
1325.307737077639,9252.614,12.486145
1325.309125977263,9276.093,12.492971
1325.3105148768866,9279.656,12.501593
1325.3119037765102,9290.626,12.508321
1325.3132926761343,9288.617,12.508824
1325.3146815757586,9258.725,12.493155
1325.3160704753825,9271.366,12.495854
1325.3174593750637,9273.819,12.516551
1325.318848274688,9279.161,12.514286
1325.32023717437,9270.971,12.502837
1325.3216260740512,9249.609,12.496677
1325.3230149736758,9268.015,12.508636
1325.3244038733578,9257.163,12.5096245
1325.325792773039,9268.922,12.509201
1325.3271816727217,9292.551,12.528421
1325.3285705724036,9287.139,12.521002
1325.329959472085,9274.707,12.51525
1325.331348371826,9270.503,12.521792
1325.3327372715084,9260.533,12.512792
1325.3341261711905,9275.305,12.521303
1325.3355150709306,9279.792,12.534017
1325.3369039706126,9289.983,12.541572
1325.338292870353,9278.658,12.546976
1325.339681770093,9279.078,12.538155
1325.341070669833,9256.287,12.53205
1325.3424595695733,9267.092,12.53782
1325.3438484692554,9284.398,12.5462885
1325.3452373690536,9275.083,12.546639
1325.3466262687946,9290.998,12.55789
1325.3480151685346,9261.907,12.549275
1325.3494040682742,9261.464,12.549066
1325.3507929680734,9263.14,12.553432
1325.3521818678134,9249.057,12.553171
1325.3535707676112,9271.601,12.56626
1325.354959667352,9251.012,12.5587635
1325.3563485671505,9266.249,12.580286
1325.357737466948,9282.176,12.576737
1325.3591263666888,9277.678,12.583932
1325.3605152664875,9268.011,12.58473
1325.361904166285,9282.261,12.589648
1325.363293066084,9255.302,12.578791
1325.3646819659414,9270.637,12.586204
1325.3660708657392,9265.594,12.585606
1325.3674597655374,9281.067,12.595894
1325.3688486653366,9265.327,12.607826
1325.3702375651924,9257.626,12.590128
1325.3716264649909,9275.005,12.604812
1325.3730153648482,9268.902,12.610392
1325.3744042647047,9277.275,12.615685
1325.3757931645612,9288.502,12.6191
1325.3771820643597,9282.413,12.621878
1325.3785709642164,9277.711,12.626248
1325.3799598640728,9267.788,12.6179085
1325.3813487639293,9277.103,12.628485
1325.3827376638449,9251.285,12.6220045
1325.3841265637016,9290.002,12.649448
1325.3855154635573,9263.681,12.633107
1325.3869043634147,9275.384,12.649297
1325.3882932633294,9277.079,12.646859
1325.3896821631854,9265.088,12.650176
1325.391071063101,9287.953,12.656531
1325.3924599630157,9259.5625,12.655573
1325.3938488628717,9267.3955,12.655736
1325.3952377627872,9282.768,12.663579
1325.396626662702,9282.952,12.654078
1325.3980155626161,9281.296,12.667364
1325.3994044625315,9278.259,12.675723
1325.4007933624468,9262.631,12.676392
1325.402182262361,9290.885,12.688887
1325.403571162334,9266.462,12.67665
1325.4049600622495,9273.484,12.676999
1325.4063489621637,9268.346,12.687403
1325.4077378621366,9270.839,12.687527
1325.4091267620522,9260.5205,12.674435
1325.410515662025,9300.181,12.705313
1325.4119045619982,9280.1455,12.700297
1325.4132934619713,9270.92,12.70348
1325.414682361886,9272.154,12.701372
1325.4160712618589,9280.187,12.709009
1325.4174601618322,9273.025,12.715402
1325.4188490618058,9278.794,12.71235
1325.4202379617789,9281.223,12.715954
1325.4216268618093,9282.043,12.732009
1325.4230157617828,9289.969,12.736453
1325.424404661756,9284.203,12.7255745
1325.4257935617863,9283.135,12.730764
1325.4271824617601,9280.218,12.752618
1325.4285713617915,9258.366,12.727175
1325.4299602617637,9277.197,12.740052
1325.4313491617957,9263.373,12.730323
1325.4327380618267,9277.911,12.741741
1325.4341269618574,9283.347,12.743538
1325.4355158618894,9276.224,12.743478
1325.4369047619211,9267.696,12.745236
1325.4382936619515,9282.9375,12.757132
1325.439682561983,9275.508,12.752804
1325.4410714620149,9266.202,12.7499075
1325.4424603620453,9278.413,12.761917
1325.4438492620766,9272.407,12.762087
1325.4452381621666,9280.921,12.766562
1325.4466270621972,9272.087,12.764736
1325.4480159622865,9281.354,12.784603
1325.4494048623185,9294.2705,12.777277
1325.4507937624078,9321.398,12.792803
1325.4521826624975,9279.734,12.781445
1325.4535715625868,9291.102,12.796653
1325.4549604626188,9250.905,12.77515
1325.4563493627081,9270.523,12.789879
1325.457738262797,9273.498,12.78534
1325.459127162887,9286.2,12.799272
1325.4605160630347,9289.554,12.802115
1325.4619049631233,9282.973,12.813757
1325.4632938632133,9293.482,12.810441
1325.464682763303,9263.825,12.810881
1325.4660716634498,9272.146,12.806978
1325.4674605635398,9282.963,12.808872
1325.4688494636875,9258.936,12.811137
1325.4702383637762,9298.897,12.8261385
1325.4716272639246,9287.185,12.827374
1325.473016164073,9265.428,12.82199
1325.4744050642198,9282.38,12.830838
1325.4757939643093,9298.244,12.841797
1325.4771828644577,9292.766,12.843823
1325.4785717646046,9285.654,12.840705
1325.4799606647523,9260.699,12.834771
1325.4813495649587,9295.737,12.854153
1325.4827384651055,9288.459,12.851238
1325.4841273652532,9280.481,12.855744
1325.4855162654014,9258.623,12.849337
1325.4869051656067,9271.193,12.857767
1325.4882940657542,9273.061,12.86577
1325.4896829659608,9287.532,12.863858
1325.4910718661092,9291.622,12.874415
1325.492460766315,9289.144,12.875989
