time,flux,flux_err
1354.1074113410245,24635.42,18.856627
1354.1088002024744,24656.008,18.861403
1354.110189063866,24635.62,18.864876
1354.1129667867635,24621.027,18.853863
1354.1143556482134,24617.4,18.859161
1354.1157445097215,24630.531,18.860582
1354.117133371171,24625.502,18.855038
1354.118522232678,24619.252,18.856379
1354.1199110941275,24591.127,18.846928
1354.1212999556355,24608.816,18.850521
1354.1226888171436,24626.053,18.85594
1354.1240776786503,24591.582,18.844854
1354.1254665402157,24614.99,18.854813
1354.1268554017238,24644.342,18.858902
1354.12824426329,24625.61,18.854614
1354.129633124856,24569.107,18.83508
1354.1310219864208,24603.941,18.852089
1354.132410847987,24626.0,18.856173
1354.1337997095534,24632.547,18.868769
1354.1351885711779,24608.371,18.86289
1354.1365774327437,24632.928,18.860384
1354.1379662943668,24623.742,18.860605
1354.1393551559913,24631.67,18.859589
1354.1407440176158,24648.238,18.869524
1354.142132879239,24569.453,18.845726
1354.1435217408625,24641.586,18.865444
1354.1449106025452,24618.771,18.859709
1354.1462994641697,24630.043,18.856024
1354.1476883258524,24626.652,18.863256
1354.1490771875337,24639.95,18.858992
1354.150466049216,24631.836,18.862316
1354.1518549108987,24622.502,18.852022
1354.1532437726396,24637.525,18.85762
1354.1546326343214,24599.926,18.855206
1354.156021496061,24621.11,18.851
1354.1574103578018,24599.65,18.855406
1354.1587992195427,24632.008,18.858007
1354.1601880812832,24612.682,18.854565
1354.1615769430232,24668.326,18.867262
1354.1629658048219,24590.404,18.849808
1354.1643546665628,24667.969,18.869453
1354.1657435283619,24598.283,18.851732
1354.1671323901596,24651.244,18.864258
1354.1685212519583,24664.352,18.866749
1354.1699101137574,24626.73,18.858599
1354.1712989755565,24567.402,18.845001
1354.1726878374138,24631.396,18.857113
1354.1740766992116,24620.61,18.849585
1354.175465561068,24605.0,18.844799
1354.1768544229253,24600.7,18.853205
1354.1782432847822,24595.557,18.8466
1354.1796321466395,24593.828,18.850018
1354.1810210085541,24626.402,18.854494
1354.182409870411,24628.715,18.85726
1354.1837987323265,24634.814,18.852745
1354.185187594183,24620.45,18.859552
1354.186576456098,24621.586,18.853148
1354.1879653180126,24627.557,18.860052
1354.1893541799864,24609.873,18.853508
1354.190743041902,24595.102,18.849466
1354.192131903817,24616.943,18.86078
1354.1935207657903,24626.602,18.852886
1354.194909627763,24628.252,18.851517
1354.1962984897364,24615.627,18.851255
1354.19768735171,24634.566,18.862103
1354.199076213683,24611.816,18.850046
1354.2004650756562,24626.852,18.859465
1354.2018539376882,24635.156,18.857895
1354.2032427997192,24619.025,18.861498
1354.204631661693,24642.516,18.854929
1354.2060205237244,24650.705,18.859367
1354.2074093857555,24594.271,18.853052
1354.2087982477874,24618.916,18.855654
1354.210187109877,24594.309,18.84625
1354.2115759719081,24614.926,18.850933
1354.2129648339978,24618.021,18.851711
1354.214353696087,24615.297,18.860376
1354.2157425581772,24641.223,18.861635
1354.2171314202674,24623.277,18.864504
1354.218520282357,24625.264,18.853895
1354.2199091444463,24634.084,18.857494
1354.2212980065942,24598.717,18.84576
1354.2226868686844,24641.428,18.853613
1354.224075730832,24614.752,18.855982
1354.2254645929797,24625.055,18.860624
1354.226853455128,24606.947,18.850815
1354.228242317276,24626.723,18.867573
1354.2296311794244,24599.691,18.847464
1354.23102004163,24621.969,18.854557
1354.232408903777,24634.441,18.864086
1354.2337977659836,24621.404,18.85355
1354.2351866281901,24601.846,18.855417
1354.2365754903967,24601.018,18.846367
1354.2379643526028,24629.822,18.864738
1354.239353214808,24616.912,18.85408
1354.2407420770728,24613.297,18.849945
1354.2421309392794,24633.486,18.8547
1354.2435198015432,24634.678,18.862984
1354.2449086638076,24627.549,18.856405
1354.2462975260714,24599.676,18.841814
1354.2476863883362,24597.299,18.845688
1354.249075250601,24591.969,18.845615
1354.2504641129226,24601.875,18.84919
1354.251852975187,24599.379,18.85331
1354.25324183751,24632.166,18.853144
1354.2546306997747,24613.623,18.862253
1354.2560195620972,24620.549,18.85134
1354.2574084244188,24631.598,18.853891
1354.2587972868,24624.916,18.85952
1354.260186149123,24621.922,18.857372
1354.261575011446,24633.496,18.85148
1354.2629638738263,24608.139,18.855867
1354.264352736206,24617.3,18.856318
1354.265741598529,24615.557,18.853714
1354.2671304609103,24598.44,18.849688
1354.26851932329,24586.049,18.845907
1354.269908185729,24662.059,18.86088
1354.2712970481102,24609.357,18.847355
1354.2726859105496,24609.998,18.84662
1354.2740747729308,24601.947,18.850525
1354.2754636353689,24574.047,18.836985
1354.2768524978073,24597.625,18.840097
1354.2782413602467,24613.676,18.851274
1354.2796302226861,24619.074,18.859695
1354.281019085125,24624.09,18.849112
1354.2824079476213,24643.586,18.861593
1354.2837968100607,24640.852,18.855507
1354.2851856725583,24607.352,18.854193
1354.2865745350555,24649.52,18.859642
1354.2879633975522,24617.672,18.84858
1354.2893522600493,24627.293,18.857494
1354.290741122547,24633.137,18.856491
1354.2921299850445,24630.25,18.856897
1354.293518847599,24622.05,18.854412
1354.2949077100957,24633.428,18.853611
1354.2962965726515,24648.709,18.857702
1354.2976854352073,24601.598,18.848942
1354.2990742977631,24629.42,18.84974
1354.3004631603176,24596.396,18.844126
1354.301852022873,24634.943,18.854748
1354.303240885487,24621.422,18.844292
1354.3046297480419,24641.5,18.86665
1354.3060186106559,24614.672,18.855846
1354.3074074732694,24627.354,18.852736
1354.3087963358244,24603.998,18.851152
1354.3101851984384,24593.47,18.845661
1354.3115740611102,24605.135,18.850332
1354.3129629237233,24623.346,18.849892
1354.3143517863368,24607.586,18.848776
1354.315740649009,24637.1,18.86336
1354.317129511623,24634.596,18.865414
1354.3185183742949,24644.023,18.858017
1354.3199072369662,24656.38,18.85741
1354.321296099638,24638.518,18.852736
1354.3226849623093,24631.957,18.862566
1354.3240738249815,24636.135,18.861351
1354.3254626877115,24661.44,18.8633
1354.3268515503828,24647.785,18.861364
1354.3282404131132,24651.775,18.85188
1354.3296292758432,24610.271,18.859709
1354.3310181385737,24595.055,18.844076
1354.3324070013032,24648.398,18.860342
1354.3337958640332,24604.469,18.846836
1354.3351847267636,24651.049,18.868113
1354.3365735894931,24635.473,18.855385
1354.3379624522813,24612.873,18.848574
1354.3393513150108,24646.072,18.860136
1354.340740177799,24645.738,18.856804
1354.3421290405877,24603.133,18.85199
1354.3435179033763,24593.818,18.842813
1354.344906766164,24586.072,18.852186
1354.3462956289522,24610.299,18.851622
1354.3476844917986,24666.172,18.861105
1354.3490733545873,24647.244,18.859388
1354.3504622174332,24608.861,18.843733
1354.3518510802214,24600.127,18.84979
1354.3532399430683,24631.355,18.854338
1354.3546288059142,24642.627,18.863625
1354.356017668761,24623.848,18.851824
1354.3574065316657,24641.438,18.858732
1354.3587953945112,24587.152,18.843151
1354.360184257358,24627.012,18.857943
1354.361573120263,24654.834,18.856962
1354.3629619831681,24623.367,18.855577
1354.364350846014,24606.469,18.840855
1354.3657397089178,24597.385,18.842443
1354.3671285718228,24605.916,18.847336
1354.368517434728,24609.709,18.848625
1354.3699062976907,24599.414,18.853012
1354.3712951605949,24624.668,18.854208
1354.3726840235577,24595.75,18.83975
1354.3740728864627,24561.955,18.836493
1354.375461749426,24627.412,18.85518
1354.376850612388,24615.457,18.851015
1354.3782394753505,24640.41,18.862097
1354.379628338314,24621.137,18.860048
1354.3810172012772,24616.604,18.84912
1354.3824060642396,24631.002,18.854124
1354.3837949272597,24630.375,18.855404
1354.385183790223,24619.91,18.846666
1354.3865726532445,24598.154,18.845114
1354.3879615162655,24614.217,18.85277
1354.389350379286,24609.117,18.848944
1354.390739242307,24613.17,18.845118
1354.3921281053285,24640.912,18.857182
1354.39351696835,24624.65,18.846518
1354.3949058314283,24627.688,18.85528
1354.396294694449,24588.348,18.843727
1354.3976835575286,24628.709,18.85872
1354.39907242055,24644.746,18.852108
1354.4004612836297,24661.469,18.866564
1354.401850146708,24634.848,18.854212
1354.4032390097873,24607.531,18.844624
1354.404627872867,24589.32,18.843084
1354.406016736004,24627.578,18.849802
1354.4074055990839,24610.94,18.848406
1354.408794462221,24613.033,18.84661
1354.4101833253003,24623.809,18.857347
1354.4115721884382,24611.633,18.847387
1354.4129610515752,24599.309,18.845469
1354.4143499147126,24609.904,18.844004
1354.4157387778496,24650.61,18.86184
1354.4171276409875,24611.316,18.850925
1354.4185165041254,24650.863,18.866524
1354.419905367321,24641.17,18.860247
1354.421294230458,24636.148,18.858032
1354.4226830936536,24632.336,18.848959
1354.4240719568488,24630.842,18.857029
1354.425460820045,24589.834,18.845177
1354.4268496832406,24625.152,18.85078
1354.4282385464358,24614.426,18.85563
1354.4296274096318,24622.553,18.846495
1354.4310162728275,24607.018,18.849976
1354.4324051360818,24634.465,18.866894
1354.433793999277,24614.268,18.844471
1354.4351828625308,24589.47,18.840544
1354.436571725727,24622.299,18.848898
1354.4379605889806,24625.645,18.858253
1354.4393494522342,24606.994,18.848291
1354.440738315488,24589.996,18.838749
1354.4421271787414,24627.115,18.851954
1354.443516042054,24650.6,18.855436
1354.4449049053082,24609.562,18.842205
